Unnamed: 0,type,release_year,rating,title,cluster,duration_numeric,year,month,day,country_0,country_1,country_2,country_3,country_4,country_5,country_6,country_7,country_8,country_9,listed_in_0,listed_in_1,listed_in_2,listed_in_3,listed_in_4,listed_in_5,listed_in_6,listed_in_7,listed_in_8,listed_in_9
19.0,1.0,1.0,0.23076923076923078,Jaguar,0.0,0.0,2021.0,9.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
20.0,1.0,1.0,0.38461538461538464,Monsters Inside: The 24 Faces of Billy Milligan,0.0,0.0,2021.0,9.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
21.0,1.0,0.8235294117647101,0.38461538461538464,Resurrection: Ertugrul,0.0,0.015873015873015872,2021.0,9.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
22.0,0.0,0.764705882352942,0.4615384615384616,Avvai Shanmughi,1.0,0.6349206349206349,2021.0,9.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
23.0,0.0,1.0,0.5384615384615385,Go! Go! Cory Carson: Chrissy Takes the Wheel,1.0,0.23809523809523808,2021.0,9.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
24.0,0.0,0.764705882352942,0.38461538461538464,Jeans,1.0,0.6547619047619048,2021.0,9.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
25.0,1.0,1.0,0.38461538461538464,Love on the Spectrum,0.0,0.003968253968253968,2021.0,9.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
26.0,0.0,0.764705882352942,0.4615384615384616,Minsara Kanavu,1.0,0.5793650793650793,2021.0,9.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
27.0,0.0,0.3529411764705941,0.07692307692307693,Grown Ups,1.0,0.40476190476190477,2021.0,9.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
28.0,0.0,0.529411764705884,0.07692307692307693,Dark Skies,1.0,0.38095238095238093,2021.0,9.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
