mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.46468677520751955,0.003845330930913101,0.018941831588745118,0.0007769650471536033,,sqrt,1,2,50,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.9992892679459844,0.9964463397299218,0.9964438122332859,0.9950213371266002,0.9957325746799431,0.9965866663431472,0.0014507847810114282,21
0.9153131484985352,0.008925083762781682,0.02981247901916504,0.001925695505353127,,sqrt,1,2,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9992892679459844,0.9957356076759062,0.9964438122332859,0.9943100995732574,0.9957325746799431,0.9963022724216755,0.0016466082041286492,39
0.45363903045654297,0.00626431684510633,0.018145132064819335,0.0003871768974397161,,sqrt,1,5,50,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",0.9992892679459844,0.9964463397299218,0.9971550497866287,0.9957325746799431,0.9950213371266002,0.9967289138538156,0.0014646066417120115,15
0.9130898475646972,0.00759238531491827,0.029845762252807616,0.0020183473842154695,,sqrt,1,5,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.9992892679459844,0.9957356076759062,0.9971550497866287,0.9957325746799431,0.9957325746799431,0.9967290149536812,0.0013934881069655924,7
0.45271916389465333,0.0033596579154111174,0.017606258392333984,0.0003008153204704705,,sqrt,2,2,50,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",0.9985785358919688,0.9964463397299218,0.9971550497866287,0.9971550497866287,0.9950213371266002,0.9968712624643497,0.0011557366595127021,3
0.9127338886260986,0.006660553524903393,0.02993884086608887,0.0011694240578234512,,sqrt,2,2,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.9992892679459844,0.9957356076759062,0.9978662873399715,0.9950213371266002,0.9957325746799431,0.9967290149536812,0.0015965086072416506,7
0.45390868186950684,0.0042908637555910956,0.01786980628967285,0.0009348887686053272,,sqrt,2,5,50,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.9992892679459844,0.9964463397299218,0.9971550497866287,0.9950213371266002,0.9943100995732574,0.9964444188324786,0.0017423344548820677,31
0.9146864414215088,0.008194952968003365,0.030717945098876952,0.0007974183681233703,,sqrt,2,5,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.9985785358919688,0.9957356076759062,0.9978662873399715,0.9943100995732574,0.9950213371266002,0.9963023735215408,0.001646704273509945,35
0.45685391426086425,0.0035273730424042714,0.017704248428344727,0.00023163500579818938,,log2,1,2,50,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.9992892679459844,0.9964463397299218,0.9964438122332859,0.9950213371266002,0.9957325746799431,0.9965866663431472,0.0014507847810114282,21
0.9101268768310546,0.00911271697714517,0.030777168273925782,0.0024826225458258184,,log2,1,2,100,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9992892679459844,0.9957356076759062,0.9964438122332859,0.9943100995732574,0.9957325746799431,0.9963022724216755,0.0016466082041286492,39
0.4535590648651123,0.00549995468835538,0.017867279052734376,0.00034155720824093853,,log2,1,5,50,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",0.9992892679459844,0.9964463397299218,0.9971550497866287,0.9957325746799431,0.9950213371266002,0.9967289138538156,0.0014646066417120115,15
0.911046314239502,0.007975286402361467,0.029016780853271484,0.001087419778129421,,log2,1,5,100,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.9992892679459844,0.9957356076759062,0.9971550497866287,0.9957325746799431,0.9957325746799431,0.9967290149536812,0.0013934881069655924,7
0.45119175910949705,0.003878492259526996,0.01771240234375,0.00021959080616682847,,log2,2,2,50,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",0.9985785358919688,0.9964463397299218,0.9971550497866287,0.9971550497866287,0.9950213371266002,0.9968712624643497,0.0011557366595127021,3
0.9074752330780029,0.0067514003037518954,0.027978992462158202,0.0005505626874004563,,log2,2,2,100,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.9992892679459844,0.9957356076759062,0.9978662873399715,0.9950213371266002,0.9957325746799431,0.9967290149536812,0.0015965086072416506,7
0.45328426361083984,0.004748631858151318,0.01813645362854004,0.0011728049814973618,,log2,2,5,50,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.9992892679459844,0.9964463397299218,0.9971550497866287,0.9950213371266002,0.9943100995732574,0.9964444188324786,0.0017423344548820677,31
