cluster,PC1,PC2
1.0,-39.103406507919026,-141.10472004477106
1.0,-38.95563051922392,-141.09597100743264
1.0,-39.02091452589761,-141.0974400510541
1.0,-39.06211270129002,-141.09744906197608
1.0,-38.81909133421825,-141.09513818636992
1.0,-38.989028044183534,-141.10765894864483
1.0,-39.05783844521191,-141.09709918068924
1.0,-39.011968117437696,-141.09442340842378
0.0,-39.44811976540139,-141.0860952543166
1.0,-38.97642274515306,-141.13012149083252
1.0,-39.3795400497781,-111.1697447782577
0.0,-39.90200093445694,-111.16395659757872
1.0,-39.555717149827416,-111.15463740587606
0.0,-39.87310092679442,-113.15846679414476
0.0,-39.871723967875155,-113.15676995892514
1.0,-39.45495054668788,-114.19744550644862
0.0,-39.85593920892667,-114.15933782704704
1.0,-39.35191986960281,-114.15057480470341
1.0,-39.416022983511,-114.16369470129203
1.0,-39.318703639952375,-115.19656467952433
0.0,-39.838428331546076,-115.15496666573443
0.0,-39.83674973497784,-115.16639503964547
1.0,-39.313288378854054,-115.19528249541148
1.0,-39.472237851031586,-115.14632570979714
0.0,-39.84281122905609,-115.15310800907048
0.0,-39.84018523432867,-115.15205735127918
1.0,-39.28375792994142,-115.20233862842893
1.0,-39.336882146164946,-115.16446549941253
1.0,-39.29063435952698,-115.16295625400474
1.0,-39.17215188409019,-115.16153813630555
1.0,-39.33579608608142,-115.1664940101446
1.0,-39.28466894853751,-115.18073397212329
1.0,-39.23608398610194,-115.16130257631939
1.0,-39.37684373767422,-115.1898488994625
1.0,-39.3498675419456,-115.19606152495453
1.0,-39.297875772679085,-115.18853938767947
1.0,-39.26481728330498,-115.1767101527015
1.0,-39.4530517034572,-115.1867427018839
1.0,-39.37635753253573,-115.17421113921517
0.0,-39.83037114859636,-115.17173286297131
0.0,-39.836870300912864,-115.15384118096328
1.0,-39.34183024758732,-115.14303452018517
1.0,-39.35881423640279,-115.20015004361706
1.0,-39.402618669142846,-115.18653380598676
1.0,-39.24849484835458,-115.18294247665841
0.0,-39.84315880337162,-115.15333310749475
0.0,-39.82603882810533,-116.1519093119
0.0,-39.815836055402265,-116.15278718275363
1.0,-39.4395499823242,-117.1430147355668
0.0,-39.81022600079543,-117.14719847170868
0.0,-39.81024886421187,-117.14970015140975
0.0,-39.813933500205295,-117.14828236872411
0.0,-39.808159223499516,-117.1485393149428
0.0,-39.809553081392664,-117.14768329846342
1.0,-39.4277985480205,-117.14796788704811
1.0,-39.36851337834708,-117.1716691389982
1.0,-39.446373515882485,-117.14730297872123
1.0,-39.464650091900204,-117.14120801504481
1.0,-39.437187983092876,-117.14415599464836
0.0,-39.798349976368016,-117.1575889388292
1.0,-39.46358284788408,-118.14177700536904
0.0,-39.80007586107983,-118.14669721338777
1.0,-39.517816770313146,-118.14186901928774
1.0,-39.2929433585153,-119.13581616961544
1.0,-39.2929433585153,-119.13581616961544
1.0,-39.2929433585153,-119.13581616961544
1.0,-39.2929433585153,-119.13581616961544
1.0,-39.443541834000705,-119.13890810183571
0.0,-39.74140973828944,-121.1389067469446
0.0,-39.735123380984334,-122.13662587267825
0.0,-39.7357549196367,-122.13555232376892
1.0,-39.34854430907954,-122.14298921889542
0.0,-39.73855916027912,-122.1383012542706
1.0,-39.27304843347867,-122.12865009158878
1.0,-39.28993736207014,-122.13153210655516
0.0,-39.73420956180332,-122.13888447410415
1.0,-39.38119678445696,-122.12947222558833
1.0,-39.311446740307964,-123.13130705862356
1.0,-39.34274348034527,-123.16834860393396
1.0,-39.28190408550298,-124.12490155610271
1.0,-39.15715730259172,-124.14121369698336
0.0,-39.68826557078921,-124.13456184103308
1.0,-39.35730898792707,-124.12566639296733
1.0,-39.144355594527,-124.12788450454536
1.0,-39.16792727582201,-124.14574266480982
1.0,-39.33274247083692,-124.12910763242714
1.0,-39.37163110501701,-124.1373401365019
0.0,-39.70457484475385,-124.13587115331961
1.0,-39.31477553414268,-124.12603346761517
1.0,-39.392126819308146,-124.12761520388625
0.0,-39.665404805415626,-126.14903459338998
1.0,-39.288551229174736,-126.14896251623767
0.0,-39.65480442593783,-127.13731402792175
0.0,-39.65430244854648,-127.13364978579773
1.0,-39.16872100089854,-127.1336990004565
1.0,-39.26747267697723,-127.12370617805743
0.0,-39.64725158906372,-127.15032458603253
1.0,-39.18730660437634,-129.11537227865028
0.0,-39.624142786262055,-129.12396561160355
0.0,-39.60957819486251,-129.12306678227415
0.0,-39.62888827843386,-129.12100735079642
0.0,-39.6024311461304,-129.1247433602392
0.0,-39.62948187824516,-129.1214210835275
0.0,-39.62010524645571,-129.12037826154756
0.0,-39.611539834207115,-130.12189825837416
1.0,-39.35242939860114,-130.1159860579866
1.0,-39.377249333042634,-130.11556611495027
0.0,-39.59844407469956,-131.11919196147454
1.0,-39.188841235742785,-131.1290517476631
1.0,-39.084334046238126,-131.11293731187016
1.0,-39.23252581334158,-131.11082510492545
1.0,-39.13826082081246,-131.11230806362352
1.0,-39.15312798796366,-131.14076268876738
0.0,-39.578743467308264,-132.11684753050707
0.0,-39.5847219100249,-132.11594038984578
0.0,-39.57812323341576,-132.12908081852092
0.0,-39.581280499723114,-132.12208537704709
1.0,-39.29872029541905,-132.1105657021197
0.0,-39.56801549731155,-133.11385937121145
1.0,-39.144737602106574,-134.13843886672285
1.0,-39.203290734273395,-134.10412635315035
1.0,-38.98461797885878,-135.10223068923287
1.0,-39.0880349413552,-135.10212540441805
0.0,-39.5201899479534,-136.10457739230037
0.0,-39.517877789809035,-136.10773090930792
1.0,-39.05749877046712,-136.10057399353425
1.0,-39.11597756431113,-136.09846829692432
1.0,-39.11627770744461,-136.0968458501267
1.0,-38.957461772913746,-137.12805512398296
1.0,-39.22066688013176,-137.1263310756225
1.0,-39.122045314571324,-137.1110857671601
1.0,-39.11725933504106,-137.09918690791022
1.0,-39.003767663170024,-137.11179419161317
1.0,-39.01470385597318,-138.11285824535003
1.0,-39.02934795358447,-138.09495237710436
1.0,-39.02115435953683,-138.12981222936014
0.0,-39.48599764741695,-138.10148704629148
0.0,-39.49112794307016,-138.10445152783737
0.0,-39.483646099935314,-138.10032070442304
0.0,-39.48931132183204,-138.10321069804294
0.0,-39.46403564406347,-139.14440977928166
1.0,-39.05457803181196,-139.10930221188582
1.0,-39.03824097362136,-139.13364431440456
0.0,-39.466765925863605,-139.13957194380885
1.0,-39.062445903679325,-139.09281269522774
1.0,-39.086005661561664,-139.09139058819846
0.0,-39.471494330827944,-139.11944041632296
0.0,-39.47820563736806,-139.09801476963284
0.0,-39.468528213791544,-139.13206887498816
0.0,-39.46219725933674,-139.1506174531764
0.0,-39.41438530164753,-141.1304382416619
0.0,-39.43520062691273,-141.10016782073606
1.0,-39.08917042357051,-141.10673477469408
1.0,-39.085203543429834,-141.1066709267222
1.0,-38.97327953185008,-141.14331725133056
1.0,-39.07868722982101,-141.10825525790852
1.0,-38.86887224349068,-141.10229351600722
1.0,-39.06603879421827,-141.1359920594685
0.0,-39.44577258465364,-141.10006359698397
1.0,-39.01918186120534,-141.1032302470739
1.0,-39.02733605475187,-141.1061472285645
1.0,-38.97684608363417,-141.09646861238508
1.0,-38.977420840759265,-141.14488838105572
0.0,-39.42108650684208,-141.13703332163158
1.0,-39.03033983437588,-141.14167472164706
0.0,-39.42059034495745,-141.12189501778266
1.0,-39.061906221355855,-141.08851685848907
1.0,-38.84127439276952,-141.13132678918515
1.0,-38.68425959945773,-141.09826762435665
1.0,-39.050557571893634,-141.10478160143575
1.0,-39.03009728574204,-141.10497489784646
1.0,-39.0409161566288,-141.10533382196286
1.0,-39.09279205929932,-141.11423807649476
1.0,-38.98250874907317,-141.13750665988093
1.0,-39.06263266290668,-141.13541899490627
1.0,-39.07399319526092,-141.0989507419348
1.0,-38.87705207281308,-141.10363155722735
1.0,-38.91823257018276,-141.10394390852082
1.0,-39.04863511067988,-141.10600156024307
1.0,-39.015933304108465,-141.10816203204212
1.0,-39.03133897756099,-141.11903928164608
1.0,-39.018207205733596,-141.10418978599117
1.0,-38.96199215987577,-141.12581146914462
1.0,-39.0438479096322,-141.12970206618812
1.0,-39.03139216757438,-141.10557628669028
1.0,-38.98035804938713,-141.10302017620143
1.0,-38.995288084422526,-141.10197542381468
1.0,-38.93143160191749,-141.12878298717908
0.0,-39.89384603523794,-111.17296520430716
1.0,-39.592553163117664,-111.17590936180859
1.0,-39.4260073297983,-111.16275983752182
0.0,-39.887112326693156,-112.16716120926023
1.0,-39.46172429617566,-112.18906103830726
0.0,-39.87686123979805,-112.170494402989
1.0,-39.4281821191872,-112.16203656446487
0.0,-39.87801655625045,-112.21183044544824
0.0,-39.88489853021551,-112.16793958764174
0.0,-39.87871352945578,-112.16800164967225
1.0,-39.49422438925054,-112.20584634651009
1.0,-39.331557640572484,-112.15629839570019
1.0,-39.43663607747305,-112.15949476115665
1.0,-39.48444214043045,-113.18809453449963
1.0,-39.46169230427409,-113.1575021984628
0.0,-39.87206937357987,-113.16490676038205
1.0,-39.47992448620117,-114.15726011666055
1.0,-39.527959119807534,-114.16724677684266
0.0,-39.85407935612819,-114.16235716953923
0.0,-39.82977575800888,-114.16389986682056
0.0,-39.85521316014937,-114.16225247560942
0.0,-39.830372103171335,-115.16333626737409
1.0,-39.253660914352906,-115.1861300670561
1.0,-39.493929458723535,-115.15384290460648
0.0,-39.82861616178191,-115.16124669060974
0.0,-39.825050769869584,-115.16198081706219
1.0,-39.312241799373346,-115.15049386402575
0.0,-39.838729027077456,-115.15981668734611
1.0,-39.367186484090496,-115.16128549188377
0.0,-39.786137005756714,-116.16729129236941
0.0,-39.80865415111593,-116.15916891330978
1.0,-39.12330759928252,-118.17807570978931
1.0,-39.407562275941245,-119.14360437769969
1.0,-39.388694220986814,-119.14482352114246
1.0,-39.38996226729822,-119.14474401394918
1.0,-39.2856615239449,-119.14222021751885
0.0,-39.778876202905714,-119.15216681422419
1.0,-39.400858336492554,-119.14473332373895
0.0,-39.78201485245055,-119.15253703082715
0.0,-39.781362970485056,-119.15108795251493
0.0,-39.77149711529628,-119.15174045559968
1.0,-39.33191408825775,-119.1453560855083
0.0,-39.77194309979199,-119.15165001834693
1.0,-39.422593828524455,-120.14394023483695
1.0,-39.499672029951945,-120.16900489693867
1.0,-39.49907846117733,-120.17626791399832
1.0,-39.47968636475876,-120.1910186597521
1.0,-39.485415532827375,-120.18357943890334
1.0,-39.488501269004075,-120.18739482128555
1.0,-39.49447996030043,-120.1793697109363
1.0,-39.49907846117733,-120.17626791399832
1.0,-39.49511158103665,-120.17620406602643
1.0,-39.49907846117733,-120.17626791399832
1.0,-39.482329796650674,-120.17976405652111
1.0,-39.47508786388187,-120.19412045669009
1.0,-39.49907846117733,-120.17626791399832
1.0,-39.508774509386605,-120.16889254112144
1.0,-39.51113036608917,-120.15412645524111
1.0,-39.47574208080233,-120.18590022327098
1.0,-39.474396036369335,-120.17963636057733
1.0,-39.503926485281966,-120.17258022755988
1.0,-39.4814486526867,-120.18351559093145
1.0,-39.45764737184269,-120.18313250310013
1.0,-39.482329796650674,-120.17976405652111
0.0,-39.74764273255018,-120.15877725046597
1.0,-39.36253902905818,-120.14265750666141
1.0,-39.40271553200205,-120.15066488063127
1.0,-39.41343597699805,-120.14328034486394
1.0,-39.326678746122816,-121.14428190103013
0.0,-39.75106068015164,-121.14928581235074
0.0,-39.74894380058525,-121.14804917680951
1.0,-39.3243408039931,-121.14133579209123
1.0,-39.31988018546775,-122.14329497612039
0.0,-39.73387372256448,-122.14925137039157
0.0,-39.73102921417187,-122.15193816684527
1.0,-39.35104212114906,-123.13536617258298
1.0,-39.33207494218043,-125.13481085616758
1.0,-39.24484637931447,-126.13161162812261
1.0,-39.26507332333972,-126.12753859548855
0.0,-39.66154957161897,-126.13672135653975
1.0,-39.216605634663765,-126.12878796997775
0.0,-39.67034045432459,-126.13760809762636
1.0,-39.176091289552375,-126.14231793475328
0.0,-39.67332254756635,-126.13434574094293
1.0,-39.28896091798939,-126.14714961925839
1.0,-39.24463185881153,-126.14569533578305
1.0,-39.192265265273235,-126.16732902154808
1.0,-39.20108016951854,-126.16370518308153
1.0,-39.16361596032458,-126.17063362015521
1.0,-39.13496665537592,-126.17393821876233
1.0,-39.168265686597806,-126.1784622068108
1.0,-39.20544686139671,-127.12291750699455
0.0,-39.65195800913661,-127.1343543249815
1.0,-39.28702283003513,-127.14243718472821
1.0,-39.25725381155998,-127.1280329834654
0.0,-39.65690527720811,-127.14328027419506
1.0,-39.2804000068583,-127.12900153715643
1.0,-39.29702402536447,-127.12660273049744
0.0,-39.653816701450154,-127.13526899133436
1.0,-39.29464540865492,-127.18240221274706
1.0,-39.25470105539455,-127.13428254470904
1.0,-39.269218724220245,-127.13698294993323
1.0,-39.25895519119708,-128.1262295425784
1.0,-39.179874741612366,-128.12307109026995
0.0,-39.643406175536136,-128.13226275406075
0.0,-39.641589554298015,-128.1310219242663
1.0,-39.23982886267968,-128.1231580989142
1.0,-39.232011010116175,-128.1231031958512
1.0,-39.26995812695474,-129.13145141907296
0.0,-39.4695931700165,-129.12668295381212
1.0,-39.18902320506428,-129.12232708762068
0.0,-39.627011445086,-129.13096457866868
1.0,-39.23572416286888,-130.12466370156116
1.0,-39.1850713824635,-132.13892507438877
1.0,-39.2065172216781,-132.12129915983786
1.0,-39.205415331494684,-132.13601664213564
0.0,-39.554815883241595,-133.12171190455933
0.0,-39.55777208942888,-133.12044981332377
1.0,-39.120641874356295,-133.1117232892575
1.0,-39.145265245425804,-133.11568112118326
1.0,-39.160818349777124,-133.11253481679307
0.0,-39.56515241201631,-133.11846902444307
1.0,-39.15642917111427,-133.11219807014012
0.0,-39.37954503322963,-133.11455871389066
1.0,-39.20882764451988,-133.11336318819707
1.0,-39.17695123544273,-133.13209511885427
0.0,-39.5649609437967,-133.11825578400888
0.0,-39.55863267591306,-133.12215123425165
1.0,-39.1304835081021,-134.12511382938155
0.0,-39.55099310209155,-134.1189887154953
1.0,-39.15541023291063,-134.12714716133138
1.0,-39.18014941277548,-134.12482247350314
0.0,-39.55081552188453,-134.12006960118146
1.0,-39.11727646372843,-134.13292986046434
0.0,-39.37776824255816,-135.11895211935536
1.0,-39.16180125606996,-135.1353052520418
0.0,-39.53672196067552,-135.11420165469605
1.0,-39.18448630315442,-135.11377730810875
0.0,-39.53198546393851,-135.1161519502587
1.0,-38.98246725185149,-135.1048190641804
1.0,-39.11308246062237,-135.11262804461478
1.0,-39.108501034608494,-135.14886352908601
0.0,-39.529546449517674,-135.1172749037182
0.0,-39.537210529467856,-135.11379381507533
1.0,-39.19530791538819,-135.11421864484765
1.0,-39.164483342124555,-135.10867418651642
1.0,-39.10364404465196,-135.11594214005916
1.0,-39.13512609182932,-136.1161676953808
0.0,-39.51107049596163,-136.12267232890912
0.0,-39.51061657004671,-136.1334482325534
0.0,-39.510770634421824,-136.129665705709
0.0,-39.49421319494269,-136.1648736391246
0.0,-39.51156506042969,-136.12805077197376
0.0,-39.49882515276391,-136.12092422221608
0.0,-39.51072579318592,-136.12111576613174
0.0,-39.51216991624737,-136.11123430343974
0.0,-39.512875921491904,-136.13125674458453
1.0,-39.09523135139256,-136.113700703611
0.0,-39.51099077280398,-136.1188928172269
0.0,-39.514881547004464,-136.11531424176508
0.0,-39.50404978723377,-136.1135676394842
0.0,-39.50622839719951,-136.13702776337246
0.0,-39.510517319518875,-136.1227984722721
0.0,-39.51395926531214,-136.12304309962101
0.0,-39.48780511466973,-136.12597716049623
0.0,-39.49319152596083,-136.1239173111975
0.0,-39.514292228790126,-136.13155945534837
1.0,-39.04475575826361,-136.14166420361246
1.0,-39.01545801285889,-136.12301137335191
0.0,-39.510805808863424,-136.13768431303419
1.0,-39.1118820689137,-136.12106001333018
0.0,-39.50919616839044,-136.12312589214253
0.0,-39.513390420695636,-136.1143672613502
1.0,-39.135698112964825,-136.11274459317252
0.0,-39.51490467201597,-136.1373868033505
0.0,-39.51191604962723,-136.1246171122732
0.0,-39.49943349025555,-136.12601832008684
0.0,-39.51720198729579,-136.11517357078688
0.0,-39.51968597567566,-136.1192962104285
0.0,-39.505705644356304,-136.11646035847033
1.0,-39.002132684421966,-136.11810278817288
1.0,-38.94184647415521,-136.12252908391028
0.0,-39.513493941605915,-136.11788518899823
0.0,-39.50404978723377,-136.1135676394842
0.0,-39.51523646129584,-136.11849508558754
0.0,-39.5218101128747,-136.1116607340512
0.0,-39.48761269720782,-138.11051659268892
0.0,-39.4111481520525,-139.1115795062243
0.0,-39.46272953619379,-140.10789307638873
1.0,-39.03188399381828,-140.09789966050803
1.0,-38.91159898417923,-140.09949616167256
1.0,-39.082247061011,-140.10168422436578
0.0,-39.454970406172144,-140.111164526562
1.0,-38.91340121035759,-140.09956711573926
1.0,-38.94796412475148,-140.12585903310332
1.0,-38.99606637678587,-140.09784204603994
1.0,-39.05130932995893,-140.10808132506597
1.0,-38.97419339490071,-141.1310390617363
1.0,-38.94020626603666,-141.1083003975278
0.0,-39.28366756084131,-141.09762071730916
1.0,-39.05964783863694,-141.1121260715243
1.0,-39.07709330155178,-141.11256704201304
1.0,-39.05693855930871,-141.11129043961657
1.0,-38.81765047203337,-141.10853468561072
0.0,-39.44568930423961,-141.10352316976565
1.0,-39.045056270797055,-141.1085281671988
1.0,-39.00469619807724,-141.11094524273676
1.0,-39.05223607097794,-141.1134986477212
1.0,-38.97081183037739,-141.10221014312924
1.0,-38.97266303137262,-141.0928757266503
0.0,-39.444963657172586,-141.10292571450958
1.0,-39.023607124042435,-141.1024178239339
1.0,-39.05166726469105,-141.1467715040439
1.0,-39.05827757672363,-141.1355807487848
1.0,-38.9715934817157,-141.13659101607328
1.0,-38.96021093280629,-141.10099963945652
0.0,-39.44551193288827,-141.1014379731534
1.0,-38.85828032478055,-141.10919859513064
1.0,-38.93477780479623,-141.10979118114022
1.0,-39.062571962522064,-141.09680295929599
1.0,-39.03313911049361,-141.1126632839074
1.0,-38.96274108452824,-141.11518461556403
1.0,-38.99480188562145,-141.1348032237532
1.0,-39.08202279900992,-141.11273543691664
1.0,-39.01227336434568,-141.1094862527768
1.0,-39.035363356004154,-141.109462052176
0.0,-39.443171274393286,-141.10505577432284
0.0,-39.442233897339655,-141.1153604002372
1.0,-39.033172895013315,-141.10429323348484
0.0,-39.43440855741768,-141.1202141859867
1.0,-38.938152907719264,-141.14462705986963
1.0,-39.006532510581145,-141.13743915035073
1.0,-39.080004231962626,-141.1139455835244
1.0,-38.920260147706564,-141.13760915151119
1.0,-39.094738732803734,-141.11409154268824
1.0,-39.081226849245496,-141.10524558293457
1.0,-38.99730871118204,-141.15297757936813
1.0,-39.0107368979123,-141.13903868369206
1.0,-38.90765385798269,-141.10283104667144
1.0,-38.92058503326802,-141.10950550832897
1.0,-38.92821277061784,-141.11000306605965
1.0,-38.98553135736213,-141.11177174081806
1.0,-38.9888251413882,-141.11150611430105
1.0,-38.91673135002761,-141.1099771954024
1.0,-39.0381023168306,-141.11323910926293
1.0,-39.013349018068524,-141.15291335351435
1.0,-39.08994705829459,-141.14608330927507
1.0,-38.941643332284265,-141.10903960346604
1.0,-39.02225072419814,-141.13565665588092
1.0,-38.95040720560916,-141.11212343326252
1.0,-39.07386474149283,-141.13223955781262
1.0,-39.05981439487982,-141.14400532996996
1.0,-38.99342849074579,-141.09886123525933
1.0,-38.97914618224701,-141.11142343809863
1.0,-38.97601341498172,-141.11169984236037
1.0,-39.00158695244938,-141.10249450035369
0.0,-39.44052273547372,-141.1008177007999
1.0,-39.488155143886765,-112.16932086298402
1.0,-39.490633813636464,-112.17210191057532
0.0,-39.87970808893562,-112.18358480334726
0.0,-39.88517041844354,-112.1777045152506
1.0,-39.47631186059704,-112.17610125781817
1.0,-39.52122662828358,-112.16701958517129
1.0,-39.51444359412479,-112.16884024128888
0.0,-39.88076547276182,-112.17454242590452
0.0,-39.88174086425401,-112.17506899855243
0.0,-39.88259472008625,-112.17804439014989
0.0,-39.85672386114336,-113.17392324841049
1.0,-39.52374820991144,-114.1686470145151
1.0,-39.4538254819624,-114.19926562497812
0.0,-39.83806213086531,-114.17080739317109
1.0,-39.492550158602725,-114.17143277623663
1.0,-39.51365636968603,-116.1714721319728
